Department Family ,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Item Text, £ ,Postal Code
Department for Transport,High Speed Two (HS2) Limited,06/03/2024,AUC - Phase 1,AUC - 000000,BALFOUR BEATTY VINCI JV - HS2 (N1),#,Supplier Item Supplier Manufacturer Part Number Manufacturer Need-byArea North MWCC - Stage 2 BBV IPT - Euro Account," £3,213,540.12 ",#
Department For Transport,National Highways,28/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,UK HIGHWAYS M40 LTD,957173,Operate Roads PFI Service Payments," £3,201,680.64 ",OX16 3YT
Department For Transport,National Highways,13/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,ROAD MANAGEMENT SERVICES (DARRINGTON) LTD,953307,Operate Roads PFI Service Payments," £3,140,397.64 ",EC4N 6AF 
Department for Transport,High Speed Two (HS2) Limited,26/03/2024,AUC - Phase 1,AUC - 000000,BUCKINGHAMSHIRE  COUNCIL,#,New Unitary Authority - Buckinghamshire Council," £3,127,600.23 ",#
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,WEST MIDLANDS COMBINED AUTHORITY,2000035636,Capability Fund 24/25," £3,125,695.00 ",B19 3SD
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,WEST YORKSHIRE COMBINED AUTHORITY,2000035618,ATF4E Second Intallment," £3,082,319.00 ",LS1 2DE
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,GREATER MANCHESTER COMBINED,2000035641,Capability Fund 24/25," £3,074,519.00 ",M1 6EU
Department for Transport,Department for Transport,27/03/2024,TOCOpCosts(Pub),DG Rail Strategy and Services Group,LONDON NORTH EASTERN RAILWAY,2000035853,P2501 Wk4 2025.P1 Period 1 2024/2025 subsidy- Lond," £3,065,202.90 ",YO1 6GA
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,LEICESTERSHIRE COUNTY COUNCIL,2000034686,MRN LLM Grants 2023/24," £3,000,000.00 ",LE3 8RB
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Dundee City Council,2000035214,Levelling Up Fund Payment 10 for Round 2 Schemes," £2,973,776.64 ",DD1 1NN
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Doncaster Council,2000033894,Safer Roads Fund Capital Grant," £2,960,000.00 ",DN1 13BU
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,North Yorkshire Council,2000033895,Safer Roads Fund Capital Grant," £2,960,000.00 ",DL7 8AL
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,Durham County Council,2000033911,Safer Roads Fund Capital Grant," £2,940,000.00 ",DH8 1FP
Department for Transport,British Transport Police,26/03/2024,Auc - Leasehold Improvements,Capital Control Account,Transport Trading Ltd,572733,Auc - Leasehold Improvements," £2,916,631.00 ",SE10 1AP
Department For Transport,National Highways,20/03/2024,RM - Electricity costs,FINANCE & BUSINESS SERVICES,EDF ENERGY (NON CIS) CHARGES,954950,Routine Maintenance," £2,889,289.50 ",PL3 5XQ
Department for Transport,Department for Transport,26/03/2024,Cap Grt Loc Auth,DG Rail Infrastructure Group,NEXUS,2000035588,NEXUS P11 February 2024 Capital," £2,849,575.00 ",NE1 4AX
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN LIMITED,952350,RIS 2 Schemes," £2,834,516.91 ",SL6 4UB
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NOTTINGHAM CITY COUNCIL,2000033899,Safer Roads Fund Capital Grant," £2,825,000.00 ",NG2 3NG
Department for Transport,Department for Transport,26/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",GLOUCESTERSHIRE COUNTY COUNCIL,2000035527,LEVI Capital fund :  Gloucestershire 90% payment," £2,796,300.00 ",GL1 2TJ
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,952230,RIS 2 Schemes," £2,791,618.08 ",SW1V 1LQ
Department for Transport,Department for Transport,18/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,PORTSMOUTH CITY COUNCIL,2000034354,Transforming Cities Fund Capital Grant," £2,777,104.22 ",PO1 2AL
Department for Transport,Department for Transport,27/03/2024,CurrGrt Las in AEF/A,DG Roads and Local Group,TRANSPORT FOR THE NORTH,2000035852,TfN Core," £2,754,100.00 ",M1 3BN
Department For Transport,National Highways,12/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,JOHN GRAHAM CONSTRUCTION LTD,952945,RIS 1 Schemes," £2,725,917.07 ",BT26 6HX
Department For Transport,National Highways,27/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,956998,Renewals of Roads," £2,688,736.17 ",CV21 2DW
Department for Transport,High Speed Two (HS2) Limited,04/03/2024,AUC - Phase 1,AUC - 000000,NATIONAL GRID ELECTRICITY DISTRIBUTION (WEST MIDLANDS) PLC,#,SD HRS26 DNO   DNO Connection offer for Permanent Non Traction supplies at Greatworth," £2,686,880.50 ",#
Department for Transport,Active Travel England,28/03/2024,CapGrtPriSec-P&NPISH,National Cycling Network,SUSTRANS LTD,2000036073,ATF4E Rural NCN," £2,685,062.00 ",BS1 5DD
Department for Transport,Department for Transport,29/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,WILTSHIRE COUNCIL,2000036084,ZEBRA 2," £2,677,468.00 ",BA14 4DS
Department for Transport,Department for Transport,13/03/2024,Research,"DG Aviation, Maritime and Security",INNOVATE UK,2000033874,#," £2,665,050.12 ",SN2 1UE
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,HAMPSHIRE COUNTY COUNCIL,2000035535,ATF4E First Intallment," £2,614,000.00 ",SO23 8UB
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",NORTH NORTHAMPTONSHIRE COUNCIL,2000035048,LEVI Capital fund:90% payment Nth Northamptonshire," £2,605,500.00 ",NN16 8TL
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",BRIGHTON & HOVE CITY COUNCIL,2000034647,Brighton and Hove LEVI capital fund 23-24 90%," £2,578,500.00 ",BN1 1JE
Department For Transport,National Highways,05/03/2024,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,JACOBS UK LTD,952068,RIS 2 Schemes," £2,537,259.03 ",G2 7HX
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SURREY COUNTY COUNCIL,2000035955,ZEBRA 2," £2,524,865.00 ",KT1 2DN
Department for Transport,Active Travel England,26/03/2024,CurrGrt Las in AEF/A,LA Capacity Building Fund,WEST YORKSHIRE COMBINED AUTHORITY,2000035618,Capability Fund 24/25," £2,518,865.00 ",LS1 2DE
Department for Transport,Department for Transport,18/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SOUTHAMPTON CITY COUNCIL,2000034355,Transforming Cities Fund Capital Grant," £2,518,505.00 ",SO14 7LY
Department For Transport,National Highways,08/03/2024,Contractor Costs,DIGITAL SERVICES,TELENT TECHNOLOGY SERVICES LIMITED,952652,Corporate Support Services," £2,511,001.18 ",CV34 5AH
Department for Transport,High Speed Two (HS2) Limited,01/03/2024,AUC - Phase 1,AUC - 000000,NATIONAL GRID ELECTRICITY DISTRIBUTION (WEST MIDLANDS) PLC,#,The connection is at Streethay (Phase 1). Costs for the DNO to carry out the Contestable and Non Contestable Works," £2,507,040.00 ",#
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,TEES VALLEY COMBINED AUTHORITY,2000034773,S31 Determination - TSOG Grant," £2,500,000.00 ",TS17 6QY
Department For Transport,National Highways,21/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,KELTBRAY HIGHWAYS LIMITED,955586,RIS 1 Schemes," £2,465,572.71 ",KT10 9TA
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,STAFFORDSHIRE COUNTY COUNCIL,2000035796,ZEBRA 2," £2,454,176.00 ",ST16 2DH
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,BOLTON MBC,2000033864,Safer Roads Fund Capital Grant," £2,450,000.00 ",BL1 1RX
Department For Transport,National Highways,12/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,VINCI CONSTRUCTION UK LTD,953045,Feasibility," £2,448,138.83 ",WD24 4WW
Department for Transport,Active Travel England,26/03/2024,Cap Grt Loc Auth,LA Infrastructure,OXFORDSHIRE CC,2000035544,ATF4E First Intallment," £2,384,163.00 ",OX1 1TH
Department for Transport,Department for Transport,26/03/2024,CurrGrt Las in AEF/A,DG Rail Infrastructure Group,NEXUS,2000035588,Nexus P11 February 2024 Resource Grant," £2,316,667.00 ",NE1 4AX
Department for Transport,High Speed Two (HS2) Limited,22/03/2024,Project Management,P40100 - Programme Controls Directorate,ATKINSREALIS UK LIMITED,#,To fund resources provided through CDC Framework," £2,306,829.77 ",#
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,BRISTOL CITY COUNCIL,2000033865,Safer Roads Fund Capital Grant," £2,275,000.00 ",BS99 7BL
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,BRIGHTON & HOVE CITY COUNCIL,2000035944,ZEBRA 2," £2,271,928.00 ",BN1 1JE
Department for Transport,Driver & Vehicle Licensing Agency,01/03/2024,Estates PFI Unitary Service Charge,Finance & Commercial,TELEREAL TRILLIUM,2000031908,See credit 8675," £2,260,196.29 ",LS1 4JB
Department For Transport,National Highways,22/03/2024,TA Cost AUC – Non SRN,LOWER THAMES CROSSING DIR,PORT OF TILBURY LONDON LIMITED,LOMD302854,RIS 2 Schemes," £2,247,858.05 ",RM18 7EH
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,OXFORDSHIRE CC,2000033869,Safer Roads Fund Capital Grant," £2,225,000.00 ",OX1 1TH
Department for Transport,Driver & Vehicle Licensing Agency,15/03/2024,Estates PFI Unitary Service Charge,Finance & Commercial,TELEREAL TRILLIUM,2000033273,#," £2,224,862.63 ",LS1 4JB
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NOTTINGHAMSHIRE COUNTY COUNCIL,2000035794,ZEBRA 2," £2,203,733.00 ",NG2 7QP
Department for Transport,Department for Transport,13/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NORTH NORTHAMPTONSHIRE COUNCIL,2000033924,Safer Roads Fund Capital Grant," £2,200,000.00 ",NN16 8TL
Department For Transport,National Highways,26/03/2024,TA Cost AUC - Programme,FINANCE & BUSINESS SERVICES,ROAD MANAGEMENT SERVICES (PETERBOROUGH) LTD,PWI-GE/537670420,Corporate Support Services," £2,196,000.00 ",EH2 1DF
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",PLYMOUTH CITY COUNCIL,2000035065,LEVI Capital fund :   Plymouth 90% payment," £2,173,500.00 ",PL1 2AA
Department for Transport,High Speed Two (HS2) Limited,20/03/2024,Engineering Services - Civil,P40019 - Engineering,EDP JOINT VENTURE,#,Tech Services Core FY 23/24," £2,163,142.73 ",#
Department For Transport,National Highways,15/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,GALLIFORD TRY INFRASTRUCTURE LIMITED,953637,Feasibility," £2,150,599.45 ",LE10 3JH
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NEWCASTLE CITY COUNCIL,2000034725,MRN LLM Grants 2023/24," £2,147,100.00 ",NE1 8QH
Department for Transport,Department for Transport,13/03/2024,Research,"DG Aviation, Maritime and Security",INNOVATE UK,2000033874,#," £2,142,966.81 ",SN2 1UE
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,JOHN SISK & SONS (HOLDINGS) LTD,952870,RIS 1 Schemes," £2,127,500.00 ",AL2 2DD
Department For Transport,National Highways,27/03/2024,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,Toyota (G.B.) PLC,956856,Customer Operations Traffic Management," £2,125,826.06 ",KT18 5UX
Department for Transport,Department for Transport,20/03/2024,Grt Aid to NDPBs,DG Rail Strategy and Services Group,BRITISH TRANSPORT POLICE,2000034774,BTPA Operation Overhand - interim payment," £2,100,000.00 ",NW1 9LN
Department for Transport,Department for Transport,25/03/2024,Cap Grt Pub Corp,DG Rail Strategy and Services Group,ATOC LIMITED,2000035346,Payment to RDG for Project Oval.," £2,100,000.00 ",EC1A 4HD
Department For Transport,National Highways,04/03/2024,TA Cost AUC - Programme,LOWER THAMES CROSSING DIR,Bouygues Travaux Publics UK Branch,951826,RIS 2 Schemes," £2,089,574.10 ",SE1 7EU
Department for Transport,Driver & Vehicle Licensing Agency,11/03/2024,Agents Fees,Operations,NSL Ltd,2000032880,#," £2,048,942.82 ",SL1 2BU
Department For Transport,National Highways,08/03/2024,TA Renewal of Structures - Capital,MAJOR PROJECTS,KIER TRANSPORTATION LIMITED,952688,Renewals of Structures," £2,040,248.64 ",M50 3XP
Department for Transport,Department for Transport,26/03/2024,Cap Grt Loc Auth,DG Rail Infrastructure Group,NEXUS,2000035588,Nexus P11 February 2024 New Fleet," £2,014,360.16 ",NE1 4AX
Department for Transport,Department for Transport,22/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",Sheffield City Council,2000035216,CAZ NO2 CAF Sheffield and Newcastle #3m," £2,000,000.00 ",S9 3GZ
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BAM MORGAN SINDALL JOINT VENTURE,952346,RIS 2 Schemes," £1,982,320.05 ",LS27 0NQ
Department For Transport,National Highways,05/03/2024,Prepaid expenses - admin,FINANCE & BUSINESS SERVICES,CARTER JONAS LLP,951970,Non MA," £1,978,958.55 ",W1G 0BG
Department for Transport,Department for Transport,20/03/2024,CurrGrtOth to NDPBs,"DG Aviation, Maritime and Security",CIVIL AVIATION AUTHORITY,2000034750,Spaceflight Regulator Nov 23 Jan 24," £1,957,217.72 ",RH6 0YR
Department for Transport,Department for Transport,19/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",Cheshire East Borough Council,2000034560,LEVI Capital fund :   90% payment," £1,954,800.00 ",CW1 2JZ
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,952339,RIS 2 Schemes," £1,921,402.62 ",SW1V 1LQ
Department For Transport,National Highways,25/03/2024,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF8730009046756409,Renewals of Roads," £1,915,784.56 ",EN1 1TH
Department For Transport,National Highways,28/03/2024,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",Plantlife International – The Wild Plant Conservation Charity,957324,Biodiversity," £1,909,530.00 ",SP1 2AP
Department For Transport,National Highways,04/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,AUTOLINK CONCESSIONAIRES (A19) LIMITED,951891,Operate Roads PFI Service Payments," £1,908,686.32 ",TS23 1PX
Department For Transport,National Highways,28/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,AUTOLINK CONCESSIONAIRES (A19) LIMITED,957356,Operate Roads PFI Service Payments," £1,908,686.32 ",TS23 1PX
Department for Transport,Department for Transport,22/03/2024,Research Grant-PS,DG Rail Strategy and Services Group,RAIL SAFETY & STANDARD BOARD,2000035186,RSSB - Research Grant for 2023/24 - Quarter 4," £1,880,000.00 ",EC2M 2RB
Department for Transport,Department for Transport,21/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",CHESHIRE WEST & CHESTER COUNCIL,2000035025,LEVICap:  Cheshire West&Chester 90% payment," £1,844,100.00 ",CH34 9DB
Department For Transport,National Highways,19/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,ROAD MANAGEMENT SERVICES (PETERBOROUGH) LTD,954078,Operate Roads PFI Service Payments," £1,809,991.65 ",EH2 1DF
Department For Transport,National Highways,04/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,KAPSCH TRAFFICCOM,951782,Operate General Management Costs," £1,800,000.00 ",Austria
Department for Transport,Department for Transport,26/03/2024,Subsidies Private Se,DG Roads and Local Group,REDACTED,2000035509,#," £1,795,157.77 ",REDACTED
Department for Transport,Department for Transport,20/03/2024,Cap Grt Loc Auth,"DG Decarbonisation, Technology and Strategy",Buckinghamshire Council,2000034895,LEVI Capital fund :  Buckinghamshire 90% payment," £1,791,900.00 ",HP19 8FF
Department For Transport,National Highways,26/03/2024,PFI Service Payments,OPERATIONS DIRECTORATE,CONNECT M1-A1 LTD,956621,Operate Roads PFI Service Payments," £1,766,427.26 ",NW1 3AX
Department For Transport,National Highways,11/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,KIER TRANSPORTATION LIMITED,952813,RIS 1 Schemes," £1,761,287.58 ",M50 3XP
Department For Transport,Maritime and Coastguard Agency,15/03/2024,Aviation Standing Charge,Humberside SAR Helicopter Base,Bristow Helicopters Ltd,233134904,Monthly standing charge Humberside," £1,758,497.17 ",RH1 5JZ
Department For Transport,National Highways,13/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,SKANSKA CONSTRUCTION UK LTD,953279,RIS 1 Schemes," £1,735,283.37 ",WD3 9SW
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,SOMERSET COUNTY COUNCIL,2000035954,ZEBRA 2," £1,724,557.00 ",TA1 4DY
Department For Transport,National Highways,06/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,BALFOUR BEATTY CIVIL ENGINEERING LTD,952241,RIS 2 Schemes," £1,708,382.76 ",SW1V 1LQ
Department for Transport,Department for Transport,27/03/2024,Cap Grt Loc Auth,DG Roads and Local Group,NORTH SOMERSET COUNCIL,2000035951,ZEBRA 2," £1,681,338.00 ",BS23 1UJ
Department For Transport,National Highways,19/03/2024,TA Cost AUC - Programme,MAJOR PROJECTS,COSTAIN GALLIFORD TRY SM JV,954392,RIS 2 Schemes," £1,667,604.79 ",NN6 7SL
Department for Transport,High Speed Two (HS2) Limited,13/03/2024,Business Services,P40033 - Civils and Services - Commercial,GLEEDS COST MANAGEMENT LIMITED,#,C1000_2823 CDC Lot 2 Commercial Management  Uplift ," £1,660,500.44 ",#
Department For Transport,Maritime and Coastguard Agency,15/03/2024,Aviation Standing Charge,Stornoway SAR Helicopter Base,Bristow Helicopters Ltd,233134902,Monthly standing charge Stornoway," £1,619,831.38 ",RH1 5JZ
Department for Transport,Driver & Vehicle Licensing Agency,08/03/2024,Purchasing Card Charges,Finance & Commercial,Barclays Bank PLC,2000032652,#," £1,589,555.65 ",E14 5HP
Department For Transport,National Highways,18/03/2024,TA Cost AUC – Non SRN,DIGITAL SERVICES,CAPGEMINI UK PLC,953760,Corporate Support Services," £1,589,454.31 ",GU21 6DB
Department For Transport,Maritime and Coastguard Agency,15/03/2024,Aviation Standing Charge,Newquay SAR Helicopter Base,Bristow Helicopters Ltd,233134910,Monthly standing charge Newquay," £1,583,171.53 ",RH1 5JZ
